id,year,tilename
170584,1997,738_5646
170586,1997,738_5650
170587,1997,738_5652
170588,1997,738_5654
170589,1997,738_5656
170590,1997,738_5658
170591,1997,738_5660
170592,1997,738_5662
170593,1997,738_5664
170594,1997,740_5636
170595,1997,740_5638
170596,1997,740_5640
170597,1997,740_5642
170598,1997,740_5644
170599,1997,740_5646
170557,1997,734_5652
170562,1997,734_5662
170563,1997,734_5664
170578,1997,736_5662
170579,1997,736_5664
170585,1997,738_5648
170600,1997,740_5648
170601,1997,740_5650
170602,1997,740_5652
170603,1997,740_5654
170604,1997,740_5656
170605,1997,740_5658
170606,1997,740_5660
170607,1997,740_5662
170608,1997,740_5664
170609,1997,742_5636
170610,1997,742_5638
170611,1997,742_5640
170612,1997,742_5642
170613,1997,742_5644
170614,1997,742_5646
170615,1997,742_5648
170616,1997,742_5650
170617,1997,742_5652
170618,1997,742_5654
170619,1997,742_5656
170620,1997,742_5658
170621,1997,742_5660
170622,1997,742_5662
170623,1997,742_5664
170624,1997,744_5642
170625,1997,744_5644
170626,1997,744_5646
170627,1997,744_5648
170628,1997,744_5650
170629,1997,744_5652
170630,1997,744_5654
170631,1997,744_5656
170632,1997,744_5658
170633,1997,744_5660
170634,1997,744_5662
170635,1997,746_5642
170636,1997,746_5644
170637,1997,746_5646
170638,1997,746_5648
170639,1997,746_5650
170640,1997,746_5652
170641,1997,746_5654
170642,1997,746_5656
170643,1997,746_5658
170644,1997,748_5644
170645,1997,748_5646
170646,1997,748_5648
170647,1997,748_5650
170648,1997,748_5652
170649,1997,748_5654
170650,1997,748_5656
170651,1997,748_5658
170652,1997,750_5644
170653,1997,750_5646
170654,1997,750_5648
170655,1997,750_5650
170656,1997,750_5652
170657,1997,750_5654
170658,1997,752_5644
170659,1997,752_5646
170660,1997,752_5648
170661,1997,752_5650
170662,1997,752_5652
170663,1997,752_5654
170664,1997,754_5644
170665,1997,754_5646
170666,1997,754_5648
170667,1997,754_5650
170668,1997,754_5652
170669,1997,754_5654
170670,1997,756_5644
170671,1997,756_5646
170672,1997,756_5648
183531,2018,594_5590
183532,2018,594_5592
183533,2018,594_5594
183534,2018,594_5596
183535,2018,594_5598
183536,2018,594_5600
183537,2018,594_5602
183538,2018,594_5604
183539,2018,596_5586
183540,2018,596_5588
183541,2018,596_5590
183542,2018,596_5592
183543,2018,596_5594
183544,2018,596_5596
183545,2018,596_5598
183546,2018,596_5600
183547,2018,596_5602
183548,2018,596_5604
183549,2018,598_5586
183550,2018,598_5588
183551,2018,598_5590
183552,2018,598_5592
